SDNN,RMSSD,pNN50,VLF,LF,HF,LF/HF Ratio
50.81,32.80,12.79,1244.65,857.99,567.96,2.57
44.16,32.06,12.03,891.48,630.39,484.09,2.09
45.31,28.1,,,1009.35,326.26,5.16
53.97,29.29,,505.03,973.06,303.23,4.21
32.2,18.9,1.4,132.7,321.7,204.7, 1.57
46.52,31.19,19.34,450.39, 595.86,290.03,2.05
50.91,37.34,21.84,468.72,706.27,437.03,1.61
46.53,31.19,19.34,450.34,595.86,290.03,2.05
83.10,47.94,23.47,383.75,4675.07,441.42,10.59
57.97,36.60,19.64,584.06,1248.88,368.71,3.39
49.40,29.96,14.39,403.43,871.31,270.43,3.22
47.47,32.34,16.19,478.19,742.48,354.25,2.10
39.73,41.61,69.67,,544.32,121.19,4.49
40.14,41.93,70.91,,554.73,124.45,4.46
34.37,35.97,68.95,,394.81,104.9,3.76
35.3,36.79,71.29,,421.82,110.52,3.82
37.15,38.9,69.32,,472.5,113.37,4.17
37.98,39.64,71.08,,495.55,118.24,4.19
39.85,42.95,,,290.03,102.51,1.57
36.03,36.93,,,242.26,63.43,2.83


